metabolite_ID	predicted_GCFs	max_jaccard	pep_mass	peak_count
298	CCMSLIB00004692007	['GCF498' 'GCF122' 'GCF115']	0.1	424.2625	0
299	CCMSLIB00000424836	['GCF589' 'GCF610' 'GCF581']	0.5	456.2517	11
300	CCMSLIB00004688739	['GCF546' 'GCF554' 'GCF543']	0.25	490.2698	0
301	CCMSLIB00004720879	['GCF527' 'GCF524' 'GCF530']	0.05	871.5748	9
302	CCMSLIB00000204995	['GCF584' 'GCF584' 'GCF587']	0.71	903.9996	9
303	CCMSLIB00005716774	['GCF582' 'GCF580' 'GCF585']	0.25	887.9959	2
304	CCMSLIB00000079736	['GCF608' 'GCF628' 'GCF604']	0.33	887.998	6
305	CCMSLIB00004708844	['GCF623' 'GCF590' 'GCF623']	0.5	887.9971	3
306	CCMSLIB00004712820	['GCF629' 'GCF552' 'GCF629']	0.2	493.3138	2
307	CCMSLIB00005720205	['GCF361' 'GCF361' 'GCF361']	0.17	449.2874	2
308	CCMSLIB00000579270	['GCF584' 'GCF584' 'GCF584']	0.27	405.2615	2
309	CCMSLIB00004720886	['GCF81' 'GCF81' 'GCF81']	0.09	437.1932	2
310	CCMSLIB00004721540	['GCF362' 'GCF362' 'GCF363']	0.25	493.3134	4
311	CCMSLIB00000573993	['GCF361' 'GCF361' 'GCF361']	0.05	493.3134	1
312	CCMSLIB00004712822	['GCF538' 'GCF498' 'GCF540']	0.03	493.3137	0
313	CCMSLIB00004720890	['GCF493' 'GCF493' 'GCF610']	0.04	577.1349	3
314	CCMSLIB00004720884	['GCF589' 'GCF589' 'GCF591']	0.75	452.2544	5
315	CCMSLIB00000579272	['GCF589' 'GCF589' 'GCF589']	0.67	462.2398	3
316	CCMSLIB00000204968	['GCF137' 'GCF247' 'GCF247']	0.14	463.3026	3
317	CCMSLIB00000001670	['GCF590' 'GCF589' 'GCF589']	0.75	462.2395	3
318	CCMSLIB00005716776	['GCF550' 'GCF584' 'GCF584']	0.09	338.3415	4
319	CCMSLIB00004686058	['GCF589' 'GCF589' 'GCF590']	1.0	498.2619	17
320	CCMSLIB00000571821	['GCF586' 'GCF586' 'GCF583']	1.0	490.2337	4
321	CCMSLIB00000424808	['GCF584' 'GCF584' 'GCF584']	0.67	392.3132	5
322	CCMSLIB00004702358	['GCF584' 'GCF584' 'GCF584']	0.5	494.8091	2
323	CCMSLIB00004715624	['GCF525' 'GCF536' 'GCF533']	0.67	494.8016	2
324	CCMSLIB00004684883	['GCF591' 'GCF589' 'GCF592']	0.67	456.2511	5
325	CCMSLIB00004684673	['GCF527' 'GCF524' 'GCF533']	0.05	535.2702	7
326	CCMSLIB00004702370	['GCF527' 'GCF522' 'GCF628']	0.4	577.317	2
327	CCMSLIB00000219044	['GCF538' 'GCF539' 'GCF546']	0.25	462.2972	0
328	CCMSLIB00000574965	['GCF636' 'GCF517' 'GCF628']	1.0	512.3858	5
329	CCMSLIB00000565868	['GCF636' 'GCF517' 'GCF628']	1.0	814.4796	3
330	CCMSLIB00004715618	['GCF636' 'GCF517' 'GCF628']	1.0	796.4684	4
331	CCMSLIB00000424834	['GCF640' 'GCF617' 'GCF523']	0.33	917.9987	16
332	CCMSLIB00000219050	['GCF584' 'GCF632' 'GCF631']	1.0	901.5838	0
333	CCMSLIB00004692005	['GCF527' 'GCF522' 'GCF533']	0.2	871.5738	2
334	CCMSLIB00000574232	['GCF553' 'GCF533' 'GCF536']	0.4	871.5734	0
335	CCMSLIB00004691915	['GCF638' 'GCF637' 'GCF533']	0.5	290.1386	1
336	CCMSLIB00004698931	['GCF550' 'GCF524' 'GCF550']	0.31	609.2709	10
337	CCMSLIB00004679265	['GCF553' 'GCF524' 'GCF522']	0.29	903.563	14
338	CCMSLIB00004685747	['GCF580' 'GCF580' 'GCF580']	0.45	685.7485	2
339	CCMSLIB00000079536	['GCF361' 'GCF361' 'GCF361']	0.02	625.3924	3
340	CCMSLIB00000075324	['GCF361' 'GCF361' 'GCF361']	0.01	669.4182	3
341	CCMSLIB00004696713	['GCF251' 'GCF256' 'GCF253']	0.1	639.4072	1
342	CCMSLIB00000205109	['GCF248' 'GCF137' 'GCF137']	0.08	683.4328	2
343	CCMSLIB00000206372	['GCF498' 'GCF579' 'GCF594']	0.29	694.3673	4
344	CCMSLIB00000574434	['GCF81' 'GCF81' 'GCF81']	0.1	413.2667	4
345	CCMSLIB00004721620	['GCF590' 'GCF685' 'GCF589']	0.03	399.2117	3
346	CCMSLIB00000572045	['GCF550' 'GCF550' 'GCF584']	0.03	343.149	3
347	CCMSLIB00000079495	['GCF484' 'GCF484' 'GCF590']	0.14	310.1817	2
348	CCMSLIB00000221134	['GCF608' 'GCF604' 'GCF595']	0.5	310.1814	1
349	CCMSLIB00004681482	['GCF608' 'GCF604' 'GCF595']	0.5	309.2043	2
350	CCMSLIB00000079481	['GCF638' 'GCF637' 'GCF533']	0.5	309.2038	0
351	CCMSLIB00000569317	['GCF527' 'GCF538' 'GCF538']	0.07	291.1934	1
352	CCMSLIB00004689948	['GCF584' 'GCF584' 'GCF584']	0.15	375.2505	2
353	CCMSLIB00000567306	['GCF102' 'GCF102' 'GCF102']	0.0	419.2766	2
354	CCMSLIB00000839195	['GCF572' 'GCF632' 'GCF631']	0.33	291.1928	1
355	CCMSLIB00000205727	['GCF361' 'GCF361' 'GCF361']	0.02	537.3408	3
356	CCMSLIB00004717351	['GCF608' 'GCF604' 'GCF595']	0.5	457.0626	1
357	CCMSLIB00004685155	['GCF550' 'GCF550' 'GCF580']	0.55	307.2242	1
358	CCMSLIB00004691108	['GCF141' 'GCF140' 'GCF137']	0.32	307.2243	1
359	CCMSLIB00000216773	['GCF531' 'GCF531' 'GCF539']	0.25	545.9688	10
360	CCMSLIB00000571996	['GCF347' 'GCF628' 'GCF347']	0.5	1101.664	12
361	CCMSLIB00004694299	['GCF628' 'GCF630' 'GCF553']	0.0	463.0585	5
362	CCMSLIB00004721350	['GCF628' 'GCF630' 'GCF553']	0.0	461.0615	6
363	CCMSLIB00004719817	['GCF498' 'GCF538' 'GCF529']	0.5	694.3683	2
364	CCMSLIB00000566568	['GCF582' 'GCF580' 'GCF585']	0.25	478.2332	0
365	CCMSLIB00000222171	['GCF589' 'GCF610' 'GCF581']	0.5	456.2513	7
366	CCMSLIB00004689592	['GCF616' 'GCF617' 'GCF614']	0.07	398.2708	3
367	CCMSLIB00004700349	['GCF388' 'GCF383' 'GCF388']	0.08	412.2829	2
368	CCMSLIB00004691322	['GCF571' 'GCF571' 'GCF572']	0.5	344.2595	6
369	CCMSLIB00004721393	['GCF626' 'GCF626' 'GCF525']	0.18	388.2479	2
370	CCMSLIB00005435739	['GCF582' 'GCF580' 'GCF585']	0.4	366.2654	0
371	CCMSLIB00000084900	['GCF571' 'GCF553' 'GCF572']	0.01	304.3008	2
372	CCMSLIB00000216564	['GCF571' 'GCF571' 'GCF572']	0.5	761.5071	10
373	CCMSLIB00004691323	['GCF674' 'GCF676' 'GCF680']	0.33	761.5053	9
374	CCMSLIB00004721392	['GCF571' 'GCF571' 'GCF572']	0.5	366.2647	2
375	CCMSLIB00004700348	['GCF533' 'GCF552' 'GCF541']	0.2	747.4905	0
376	CCMSLIB00004691451	['GCF631' 'GCF584' 'GCF631']	0.22	535.4724	3
377	CCMSLIB00004695637	['GCF589' 'GCF589' 'GCF589']	0.57	492.2947	5
378	CCMSLIB00000207333	['GCF254' 'GCF254' 'GCF254']	0.02	241.1051	2
379	CCMSLIB00000215904	['GCF578' 'GCF601' 'GCF606']	0.11	443.2409	3
380	CCMSLIB00004689593	['GCF550' 'GCF584' 'GCF550']	0.06	535.2702	6
381	CCMSLIB00005435937	['GCF181' 'GCF93' 'GCF93']	0.01	747.501	2
382	CCMSLIB00004694298	['GCF584' 'GCF587' 'GCF585']	0.04	775.5332	0
383	CCMSLIB00004721351	['GCF361' 'GCF361' 'GCF361']	0.16	749.5171	5
384	CCMSLIB00000079696	['GCF550' 'GCF580' 'GCF581']	0.67	490.2333	3
385	CCMSLIB00000424772	['GCF550' 'GCF584' 'GCF584']	0.06	301.175	0
386	CCMSLIB00004691109	['GCF40' 'GCF40' 'GCF40']	0.21	294.2797	1
387	CCMSLIB00000212500	['GCF589' 'GCF589' 'GCF589']	0.75	360.2899	4
388	CCMSLIB00000212528	['GCF623' 'GCF623' 'GCF590']	0.33	382.2719	2
389	CCMSLIB00004717350	['GCF587' 'GCF585' 'GCF585']	0.07	348.288	2
390	CCMSLIB00000205726	['GCF623' 'GCF623' 'GCF590']	1.0	326.3055	7
391	CCMSLIB00000085834	['GCF546' 'GCF554' 'GCF628']	0.04	466.2355	0
392	CCMSLIB00000839194	['GCF580' 'GCF580' 'GCF581']	0.83	557.3783	2
393	CCMSLIB00000567313	['GCF623' 'GCF623' 'GCF590']	0.2	382.2716	2
394	CCMSLIB00000220217	['GCF525' 'GCF536' 'GCF533']	0.06	348.2871	2
395	CCMSLIB00003739963	['GCF589' 'GCF581' 'GCF589']	0.33	382.2716	1
396	CCMSLIB00004689975	['GCF584' 'GCF584' 'GCF342']	0.17	348.2873	1
